tile_id,accuracy,precision,recall,f1,jaccard
T11SKA_2018_7_2,0.8923944100257433,0.9709882679423856,0.9159070430720618,0.9426437048811596,0.8915099945333111
T11SKV_2018_6_6,0.7512766864541481,0.9744682770948817,0.7595551017537392,0.8536936241956048,0.7447342544845782
T10SFG_2018_8_7,0.6861281127461619,0.8883511105377275,0.7233685651642024,0.7974156770306062,0.6630850426036201
T11SKA_2018_2_1,0.7210151122418506,0.9643998217029859,0.7360377591900045,0.8348847281494843,0.7165683502057814
T11SKA_2018_8_6,0.7548124140640345,0.9467392366903276,0.7734033674058198,0.8513379204350988,0.7411561116020954
T10SGF_2018_3_5,0.7773925559926784,0.9654143779554866,0.7949398027708875,0.8719226205801864,0.7729280246968774
T11SKV_2018_5_7,0.783188175078441,0.9713231482887345,0.7970833606336392,0.875619395645661,0.7787571150326578
T10SFH_2018_1_1,0.8186368433315516,0.9584028622091545,0.8353540782306109,0.8926579978422577,0.8061267396186941
T10SFJ_2018_9_2,0.6967583950709464,0.9457409674884409,0.7074611902664277,0.8094291764677259,0.6798664644462318
T10SGG_2018_8_5,0.5991670531321894,0.9516492530777299,0.6090772244955996,0.7427667744307371,0.590794738259021
T11SKA_2018_8_2,0.938383467341469,0.9788744995681613,0.9572576486865467,0.967945398417677,0.9378819656766657
T10SGF_2018_2_4,0.7619696705341824,0.9691455545916784,0.7757624676721817,0.8617379682719762,0.7570646689881683
T10SEJ_2018_3_7,0.4451476793248945,0.9149762034284933,0.43463671249840835,0.5893278648705147,0.4177638802062397
T10SFH_2018_6_4,0.860366671882483,0.8721564355011876,0.9823117318773145,0.9239624747360315,0.8586712387278216
T10SEH_2018_1_0,0.6864726131472364,0.6864726131472364,1.0,0.8140928086180601,0.6864726131472364
T11SKV_2018_2_9,0.6472186446783418,0.9686595281643916,0.6537448737319231,0.7806391553041715,0.6402035613165055
T10SEJ_2018_8_9,0.8949664381909263,0.9710386459006248,0.9138206198670517,0.9415611588914723,0.8895754032470626
T10TEK_2018_8_6,0.4133805077218204,0.9434004094029663,0.35882632367449846,0.5199047017858233,0.3512643425143769
T10SGF_2018_5_7,0.7241726255448382,0.9579083041797091,0.7330982059458241,0.8305596164767219,0.7102197154971
T11SKV_2018_5_5,0.8995401970243838,0.9552930311141069,0.9353448645312809,0.9452137110264431,0.8961186933385888
T11SKV_2018_5_8,0.8228265922826592,0.9662309889930655,0.844170854953337,0.9010861790580814,0.8199789299999231
T10SFJ_2018_7_2,0.5619717794359388,0.8992524678236768,0.5685075547831969,0.6966149966493845,0.5344660210594678
T11SKA_2018_5_3,0.7324792378840607,0.9607616977386405,0.7429797703194283,0.8379516715422574,0.7210988140694434
T10SGF_2018_1_0,0.8729504016409362,0.97890631994986,0.88733894694126,0.9308762556654133,0.8706908443463508
T10SEJ_2018_7_9,0.8561268837269419,0.9683300966583274,0.8711415177166333,0.9171683253620226,0.8470091398726947
T10SEH_2018_2_8,0.8546242830011318,0.969641403840164,0.8730803504788098,0.9188309138038145,0.8498494135052309
T10SGF_2018_0_1,0.6700898642251525,0.9524808415818671,0.6705320766968723,0.787016479692847,0.6488270174466657
T10SFG_2018_7_9,0.7679587859311169,0.9605260176451564,0.7810260790915029,0.8615256136551965,0.756736931448426
T10SFG_2018_2_9,0.43192906865675745,0.9609685352165963,0.4156514782355722,0.58030246298541,0.40875077110135627
T10SFH_2018_9_2,0.7109050499380497,0.9289844600276481,0.7200685996689538,0.8112929239152561,0.6825002898000906
T10SFJ_2018_8_3,0.7434539306341084,0.9456431940730738,0.7585274843772638,0.841812809232221,0.7268365735198394
T11SKV_2018_0_2,0.8697741083074165,0.9799852702247586,0.883316125782471,0.9291430726921035,0.8676631294041703
T10SFG_2018_5_6,0.750399875437032,0.9723275993546264,0.7570507347913747,0.8512900954236294,0.7410836208795243
