tile_id,accuracy,precision,recall,f1,jaccard
T10SGF_2018_0_1,0.6669005743179353,0.9049566142656582,0.6779393792206572,0.7751687133222781,0.6328779496030629
T11SKV_2018_0_6,0.788340947773896,0.8141257522539915,0.8792629921259842,0.8454416001870373,0.7322640416664918
T10SEJ_2018_5_8,0.5961625873835853,0.5748511688688834,0.6599388337591383,0.6144633648814728,0.4434840258329999
T10SEJ_2018_2_8,0.7449759622562633,0.8879273939243746,0.762431059191384,0.8204077388844951,0.6955011201147251
T10SGF_2018_3_7,0.5785141721493956,0.8796630588094445,0.5144569126130532,0.6492249600485975,0.4806314455380778
T11SKA_2018_0_3,0.553021556000146,0.5349181655803991,0.7882182941730731,0.6373224483203048,0.4676986478090238
T11SLV_2018_1_0,0.6875400214332401,0.938267469861516,0.6972954766066638,0.8000299395317011,0.6667082503870825
T11SKA_2018_7_2,0.8406392148665731,0.9055184504086744,0.917861280079858,0.9116480896772394,0.8376409146990721
T10SFG_2018_3_4,0.4944699918049376,0.5014690534335895,0.7136340167443319,0.5890288382242176,0.417463413981398
T10SFH_2018_5_4,0.5461826603096871,0.5552465479175792,0.3230170905527365,0.4084288967266609,0.2566199498637898
T10SGF_2018_5_5,0.7082615850644158,0.8791594293248097,0.7673446746984245,0.8194553595765334,0.6941333106070356
T10SFG_2018_3_9,0.4302656593707386,0.9099737188757782,0.3963342783256695,0.5521726544407586,0.3813801805404325
T11SKA_2018_7_1,0.8388343104369262,0.9447969858702724,0.8725073436343228,0.9072143779463788,0.8301851338796835
T10SFH_2018_9_2,0.698322168805014,0.8182044072625223,0.7307434878063253,0.7720047190805567,0.6286707539319935
T10SFG_2018_7_9,0.6614012561338549,0.6685170004989665,0.780393106665993,0.7201358542514785,0.562665855312566
T10SFJ_2018_9_2,0.6744362162036622,0.8995315419052607,0.6511342642320086,0.7554378337018891,0.6069908391550275
T11SKA_2018_4_0,0.8477261190241572,0.9635524513779068,0.8728520477958626,0.9159623936037268,0.8449544445683129
T11SKV_2018_3_9,0.6720282945312059,0.904045097734674,0.6893357692150882,0.7822243077953436,0.6423385791017127
T10SFH_2018_8_2,0.6784831503545111,0.6200340261664208,0.9483762905111108,0.7498363960931257,0.5997906144042422
T10SGF_2018_4_7,0.4637393372948331,0.9208436003331714,0.4103509138219681,0.567714197836291,0.3963693537830668
T10SFJ_2018_4_0,0.4820438551962336,0.4603565693327835,0.6390453233215296,0.5351795638302782,0.3653550637439833
T10SEH_2018_2_1,0.8201673186220351,0.5845636159699276,0.3225620287467119,0.4157263704250669,0.2624081867326214
T11SKV_2018_9_9,0.7903648295791985,0.8833184467581724,0.8625812303450909,0.8728266836675903,0.7743500232134567
T11SKA_2018_9_2,0.6412304537808434,0.7297311929557538,0.8096476703081738,0.7676150094397303,0.6228694890958996
T10SEJ_2018_6_7,0.8172434729811779,0.8619706596691731,0.9023039863877832,0.8816762901479611,0.7883909483280223
T10SFJ_2018_6_1,0.5349857830597775,0.6400402922366674,0.3993744020019136,0.4918454787795728,0.3261240621296298
T11SKV_2018_7_7,0.6897239889715031,0.7805158628615552,0.7957482985413453,0.7880584803803808,0.6502446426851697
T10SGF_2018_2_1,0.8758879366690887,0.9657498480935744,0.8995763910997913,0.9314893500119044,0.8717642168772791
T10SFH_2018_5_5,0.6356108639321038,0.7382989120735981,0.6105220475872608,0.6683581839415573,0.5019053741642374
T10SGF_2018_8_8,0.814308014903733,0.865339661677011,0.9121914673070805,0.888148109288307,0.7988007365979349
T10SFH_2018_4_2,0.5822907024197,0.7266016934177147,0.6018141360217508,0.6583468228327813,0.490698217718846
T10SFJ_2018_7_2,0.5471158025354926,0.695278998077005,0.5411167499748227,0.6085868741590159,0.4373876190014951
