,accuracy,precision,recall,f1,jaccard
mean,0.7207978677137804,0.7207979638268321,0.9999696183191994,0.8287216041905618,0.7207778874401126
std,0.14558321103380414,0.1455878010200826,0.00024418926374906915,0.10755040958855261,0.14557364362570863
