tile_id,accuracy,precision,recall,f1,jaccard
T10SEJ_2018_6_6,0.7114832067577745,0.7114832067577745,1.0,0.8314229481755826,0.7114832067577745
T10TEK_2018_9_5,0.5582197802926998,0.5582197802926998,1.0,0.7164840125285054,0.5582197802926998
T10SFG_2018_0_6,0.8575021317115736,0.8575021317115736,1.0,0.9232852195129791,0.8575021317115736
T10SGF_2018_1_4,0.6586092945942449,0.6586092945942449,1.0,0.7941705098853487,0.6586092945942449
T10SFH_2018_1_0,0.6039412609778999,0.6039412609778999,1.0,0.7530715440410649,0.6039412609778999
T11SKV_2018_6_7,0.7604180145387706,0.7604180145387706,1.0,0.8639061952998703,0.7604180145387706
T10SFJ_2018_2_0,0.8973767505748156,0.8973767505748156,1.0,0.9459130879546752,0.8973767505748156
T10SEJ_2018_3_8,0.6696095898819181,0.6696095898819181,1.0,0.8021151698455155,0.6696095898819181
T11SKA_2018_8_3,0.8833696636706581,0.8833696636706581,1.0,0.9380735823778582,0.8833696636706581
T11SKA_2018_3_3,0.8422226535412954,0.8422226535412954,1.0,0.9143548983314206,0.8422226535412954
T10SFJ_2018_6_0,0.7627570910514564,0.7627570910514564,1.0,0.865413725945058,0.7627570910514564
T10SGG_2018_8_3,0.8117798215666172,0.8117798215666172,1.0,0.8961131059122671,0.8117798215666172
T11SKV_2018_4_6,0.4673449988553455,0.4673222484436499,0.999992900021655,0.636971452185421,0.4673206978729193
T11SKV_2018_3_3,0.4807830763667008,0.4807830763667008,1.0,0.6493632781735544,0.4807830763667008
T11SKA_2018_0_0,0.7797784347099047,0.7797784347099047,1.0,0.8762646175528077,0.7797784347099047
T10SEH_2018_4_9,0.7923654865113254,0.7923654865113254,1.0,0.8841561528319672,0.7923654865113254
T10SFG_2018_3_9,0.8862271525310135,0.8862271525310135,1.0,0.9396823191118198,0.8862271525310135
T11SKA_2018_5_2,0.8238899340081818,0.8238860469379511,0.999994965969957,0.9034382107605596,0.8238826298946377
T11SKA_2018_8_6,0.6306473767505748,0.6306473767505748,1.0,0.773493258864193,0.6306473767505748
