,accuracy,precision,recall,f1,jaccard
mean,0.662760049856316,0.8008277247209622,0.6860468415879737,0.7223252319521372,0.5850155042243624
std,0.1250466636677327,0.1400657056001851,0.18178322956446852,0.14711982297250414,0.1729533763239164
