timestep,tile_id,accuracy,precision,recall,f1,jaccard
Timestep_6,T11SKA_2018_8_6,0.5775461926138268,0.6582509605430237,0.6865874622358482,0.672120678378114,0.5061609646554165
Timestep_6,T11SKA_2018_7_1,0.8428115699682482,0.9419536789374918,0.8801715443584907,0.9100151995095892,0.8348879719241507
Timestep_6,T10SEJ_2018_0_8,0.6591501023553339,0.6592888543078521,0.9975546763034268,0.7938911158459027,0.6582250792412468
Timestep_6,T10SFG_2018_1_8,0.4811082245911592,0.6621657316797062,0.2889650042952143,0.402347892380623,0.2518369865766033
Timestep_6,T11SKA_2018_9_2,0.6423568601298603,0.7349556337668749,0.7997193784163921,0.7659709813917035,0.6207074305720494
Timestep_6,T10SGF_2018_5_5,0.6979115862256595,0.8806038719964328,0.7518111831909895,0.8111268477025816,0.6822652577654166
Timestep_6,T10SFH_2018_2_1,0.6522456793441296,0.6522456793441296,1.0,0.7895262641607186,0.6522456793441296
Timestep_6,T10SGF_2018_8_9,0.7272910507927977,0.7303304176753308,0.9213160201398374,0.8147810553083997,0.6874519336344304
Timestep_6,T11SKV_2018_6_5,0.5311984698126416,0.6497133813798333,0.6798510454760834,0.6644406433698129,0.4974998977554203
Timestep_6,T10SEJ_2018_8_7,0.4732557290785366,0.4732557290785366,1.0,0.6424624316574549,0.4732557290785366
Timestep_6,T10SFG_2018_0_5,0.7356271213433266,0.7372331165370684,0.997000312561135,0.8476617222170444,0.7356014623135712
Timestep_6,T10SGF_2018_0_3,0.7395985746563548,0.849302732438853,0.8306567472568271,0.8398762633153373,0.7239540376231669
Timestep_6,T11SKA_2018_8_5,0.8164961297407772,0.8424664668716203,0.9315167363557786,0.8847565323974932,0.7933303875785055
Timestep_6,T11SKV_2018_3_8,0.5262192228957435,0.7268934427656965,0.3877119346915377,0.5056951432482999,0.3384149766785696
Timestep_6,T10SEJ_2018_3_8,0.6696095898819181,0.6696095898819181,1.0,0.8021151698455155,0.6696095898819181
Timestep_6,T10SEJ_2018_0_7,0.6724247762947038,0.8682115130086973,0.6889616444295706,0.768269641507574,0.6237320012538266
Timestep_6,T11SKV_2018_1_8,0.5915549384374968,0.8949536725852981,0.5658034522477022,0.6932950987432787,0.5305674587096928
Timestep_6,T10SGF_2018_3_1,0.8329625648222799,0.9518397206169368,0.8570126459522034,0.901940581293036,0.8213950592538327
Timestep_6,T10SEH_2018_2_9,0.7515096167564143,0.7515096167564143,1.0,0.8581278795923711,0.7515096167564143
Timestep_6,T10SGG_2018_6_3,0.654119428933547,0.8592693880662258,0.6284773818003081,0.7259721697415762,0.569824420236032
Timestep_6,T10SGF_2018_2_3,0.599402457191582,0.6479510411654392,0.66293323862611,0.6553565235510633,0.487383113092395
Timestep_6,T10SGF_2018_0_2,0.5989130759353818,0.8916004610807788,0.6145851472702688,0.7276186914034777,0.5718558473686354
Timestep_6,T10SEJ_2018_5_6,0.821547539656471,0.821973896119653,0.9990747801845388,0.9019126180084536,0.8213486766168824
Timestep_6,T11SKA_2018_1_0,0.5466239329000235,0.7062077288899687,0.6817148224536382,0.6937451604191485,0.5310948058510205
Timestep_6,T10SEJ_2018_6_8,0.8312489009658229,0.8312489009658229,1.0,0.907849173891558,0.8312489009658229
Timestep_6,T10SEJ_2018_5_8,0.487644367470579,0.487644367470579,1.0,0.6555926646631466,0.487644367470579
Timestep_6,T10SFG_2018_2_5,0.7204148294133065,0.7236677858036871,0.9929882449989688,0.8372016195364432,0.719988635693393
Timestep_6,T11SKV_2018_5_7,0.5891835129943166,0.9359009619761284,0.5609548479394437,0.7014679414462907,0.540200711122664
Timestep_6,T11SLV_2018_5_0,0.5354469626842645,0.9010717592731476,0.4687625500179992,0.6167004180887548,0.4458184085017118
Timestep_6,T10SGG_2018_9_4,0.6599339418250105,0.9348074851911684,0.6575925601481152,0.7720703716778735,0.6287578325908219
Timestep_6,T10SGG_2018_7_0,0.5305639330990939,0.5468296648047167,0.7590526464656402,0.6356966483942313,0.4659496347685609
Timestep_6,T10TEK_2018_8_6,0.4998092242560575,0.5629921180862738,0.4214900733367075,0.4820718773941095,0.3175854444059687
Timestep_6,T10TEK_2018_9_5,0.5638285871646079,0.6279535707204748,0.5365026627359613,0.5786370549386447,0.4071001407129456
Timestep_6,T10SFJ_2018_7_3,0.5661577101602184,0.5661577101602184,1.0,0.7229893981779144,0.5661577101602184
Timestep_6,T10SGG_2018_9_1,0.533197467825256,0.8887646768589538,0.5083252999328056,0.6467465638418938,0.4779197647397155
Timestep_6,T10SGF_2018_6_7,0.6320906367264874,0.907171387374248,0.585472503564541,0.7116552133463957,0.5523794722644673
Timestep_6,T11SKV_2018_0_4,0.9302324809804878,0.9603613794225174,0.9618476051551088,0.9611039177240944,0.9251203600831838
Timestep_6,T10SGF_2018_6_4,0.8772416149913238,0.9492608224142868,0.9149657678366993,0.9317978423863704,0.8723047746580224
Timestep_6,T10SFG_2018_3_6,0.7237011489676544,0.7267002760392741,0.9939642805828408,0.8395757491404648,0.7235075865732594
Timestep_6,T10TEK_2018_9_8,0.6255403930312109,0.6260986606882413,0.9962641932805874,0.7689521189155771,0.6246321777819167
Timestep_6,T10SFJ_2018_8_3,0.5455763252278526,0.5455763252278526,1.0,0.7059843196646046,0.5455763252278526
Timestep_6,T10SFG_2018_5_9,0.4349338588790349,0.890959975463886,0.2625366865416029,0.4055662881465077,0.2543638441230939
Timestep_6,T11SKA_2018_7_5,0.7431793524241791,0.9059914192896926,0.70584968727863,0.7934947897491715,0.6576803672353863
Timestep_6,T11SKV_2018_4_2,0.5320909685103898,0.4978881367694835,0.8479692331864506,0.6273975697185104,0.4570861568340989
Timestep_6,T10SFG_2018_1_5,0.5884685186844105,0.5884685186844105,1.0,0.7409256296395317,0.5884685186844105
Timestep_6,T10SFJ_2018_1_0,0.7973264853135855,0.7973264853135855,1.0,0.887236116341404,0.7973264853135855
Timestep_6,T10SFJ_2018_3_0,0.8552999160586726,0.8552999160586726,1.0,0.9220071737788236,0.8552999160586726
Timestep_6,T10SGF_2018_4_7,0.487595429344959,0.93803585428757,0.4313724921608883,0.5909747304370281,0.4194209594412219
Timestep_6,T10SFJ_2018_9_2,0.7722270330888086,0.7722270330888086,1.0,0.8714764177170875,0.7722270330888086
