timestep,accuracy,precision,recall,f1,jaccard
Timestep_0,0.6608804438507521,0.7293447865595659,0.8631257592435374,0.7599561393721435,0.6367794974071772
Timestep_1,0.6414842565143928,0.7653938846226059,0.7211644628498327,0.7152940407117957,0.5795396869087784
Timestep_10,0.6644930040304478,0.7991441800156931,0.6895904740444677,0.7246211381458678,0.5879207610644178
Timestep_11,0.6689331857688571,0.8024866981870094,0.693260623928121,0.7283915372728776,0.5925079118230226
Timestep_12,0.6650020724063962,0.7983277555987544,0.6906329080576517,0.7250109330577904,0.5887922501449454
Timestep_13,0.6411893297876247,0.7853407596661225,0.6789461677083687,0.7073420849538031,0.5668310337309568
Timestep_14,0.6582899358554627,0.8007276689428656,0.6818208393709696,0.7205277660983245,0.5818239877565322
Timestep_15,0.6582170342311205,0.797679518146298,0.6804803092190136,0.718238339359017,0.5802908259351078
Timestep_16,0.6646715864769356,0.7996381682807885,0.6886699361107348,0.7239351761975042,0.5880258483464907
Timestep_17,0.6509159382265033,0.7974101801621636,0.669770040901736,0.710920107423904,0.5711519444154292
Timestep_18,0.6619920227102353,0.7991916167169273,0.6869282792430504,0.7226213271363707,0.5854782596358661
Timestep_19,0.6527636231785076,0.7983640367000683,0.680559209678828,0.7172882334464044,0.5774865721374074
Timestep_2,0.6282147290501102,0.7771183496196096,0.6854023428460151,0.6977655446539236,0.5592993245669382
Timestep_20,0.6359338082317919,0.7863814902818141,0.6694834724281752,0.7020827939977876,0.5612762262616515
Timestep_21,0.6141648903080826,0.770784306974707,0.6680892733855855,0.6898846182455769,0.545016490817555
Timestep_22,0.6206208743878862,0.7824542755403068,0.6484128142813189,0.6830662742900606,0.5409409470828485
Timestep_23,0.6422564166170114,0.7856322294609409,0.6825561396640301,0.7061107257055821,0.5679586815274421
Timestep_3,0.6446939932685348,0.7963378470491572,0.6669942372700197,0.7073366880425137,0.5667113167733585
Timestep_4,0.635572873719117,0.786561616425577,0.6766364129146236,0.7009887345186251,0.5610477282556954
Timestep_5,0.6602059783309543,0.8007326367693056,0.6829803859111293,0.7212222630303501,0.5830832638780067
Timestep_6,0.6503084031769523,0.7672057549775999,0.759760751431805,0.731545405209321,0.5974313694204691
Timestep_7,0.6507241417928896,0.793928057095288,0.6751498374356215,0.7117620891267752,0.5723320729317553
Timestep_8,0.6616002882293771,0.7656219013030168,0.7847792493278525,0.7473926206543193,0.6161627676816752
Timestep_9,0.6460197089964506,0.7973562919976107,0.6620353633311074,0.7065017704555365,0.5651229702146079
